id,economic_sector_EN,economic_sector_DE
1,Art / Culture / Entertainment,Kunst / Kultur / Unterhaltung
2,Associations / Societies,Vereine
3,Automotive / Automotive supplier,Automobil / Automobilzulieferer
4,Banking,Banken
5,Chemistry,Chemie
6,Construction / Architecture,Baugewerbe / Architektur
7,Consulting,Beratung / Consulting
8,Craft,Handwerk
9,EDP / IT,EDV / IT
10,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen
11,Electrical / Electronics,Elektro / Elektronik
12,Energy,Energiewirtschaft
13,Finance,Finanzen
14,Fiscal Advice / Auditing,Steuerberatung / Wirtschaftsprüfung
15,HR,Personalwesen / Personalbeschaffung
16,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege
17,Industry,Industrie
18,Insurance,Versicherung
19,Internet / Multimedia,Internet / Multimedia
20,Machinery & Plant Engineering,Maschinen- & Anlagenbau
21,Market Research,Marktforschung
22,Marketing / Avertising / PR,Marketing / Werbung / PR
23,Media,Medien
24,Medical Engineering,Medizintechnik
25,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft
26,Other,Sonstige
27,Pharma,Medizin / Pharma
28,Printing / Paper / Packaging,Druck / Papier / Verpackung
29,Public Administration,Öffentliche Verwaltung
30,Real Estate / Facility Management,Immobilien / Facility Management
31,Research / Development / Science,Forschung / Entwicklung / Wissenschaft
32,Seminar / Fair provider,Seminar- / Messeanbieter
33,Services,Dienstleistung
34,Sports / Fitness / Beauty,Sport / Fitness / Beauty
35,Telecommunication,Telekommunikation
36,Textile,Textilbranche
37,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie
38,Trade / Consumption,Handel / Konsum
39,Transport / Logistics,Verkehr / Transport / Logistik
40,Waste Disposal,Abfallentsorgung
